rxcui 	 drugbank ids with divided |
1426330	DB04299
228054	DB00633
314826	DB11132
55347	DB06816
1312358	DB04630
4024	DB01049
4025	DB00696
1726104	DB06317
35780	DB00296
4021	DB01253
831418	DB00766
166551	DB00481
262299	DB00487
10898	DB00150
221141	DB11160
4509	DB03247
5981	DB04818
7517	DB01059
7514	DB00717
7513	DB12787
7512	DB00368
3995	DB00445
266565	DB00220
32521	DB00728
7518	DB09389
1649479	DB09083
1441688	DB11311
820	DB13853
1313173	DB02083
283809	DB00287
235997	DB11699
235419	DB00504
235418	DB00936
10962	DB00135
31914	DB00906
235413	DB00913
23796	DB11742
1102287	DB08864
296	DB00640
1439816	DB08931
153970	DB00424
290	DB00173
5489	DB00956
21102	DB01340
17652	DB00288
1546024	DB00224
25284	DB00255
1011450	DB04221
83367	DB01076
270	DB00919
272	DB09278|DB11980
142426	DB01200
16708	DB02736
22713	DB01209
262100	DB04834
17381	DB01352
236540	DB00899
25113	DB00663
1482680	DB08933
236543	DB08806
2603	DB13792
22482	DB00944
1314409	DB04398
227239	DB00179
26397	DB06696
159151	DB11635
7883	DB01337
1489914	DB09051
1489913	DB06262
7884	DB01337
358299	DB01072
1367170	DB01776
1551777	DB09049
42328	DB00637
9259	DB01180
9524	DB00795
9525	DB00936
349730	DB01914
2449	DB00122
142428	DB01131
46795	DB09001
6054	DB01064
103	DB01033
1047802	DB00424
16818	DB00459
42634	DB00035
4816	DB01120
4815	DB01016
42322	DB04576
16817	DB09055
6378	DB00854
6379	DB02239
1483575	DB04335
10637	DB00525
10636	DB00500
10635	DB01124
6373	DB00367
10633	DB00839
6375	DB01235
134615	DB00484
236495	DB00706
1294588	DB00334
2839	DB11246
1424884	DB09082
18451	DB06543
1425098	DB08911
1294580	DB00056
1424883	DB09082
9639	DB01037
10382	DB01420
37798	DB01162
1721073	DB06016
1294617	DB09275
660767	DB00991
1294612	DB00328
37790	DB00469
1442981	DB09053
9346	DB00140
1363062	DB03864
1363061	DB03900
596205	DB00980
10167	DB09324
1440856	DB02659
2685	DB00375
2683	DB01394
1918319	DB13100
220892	DB00163
1485787	DB04066
6809	DB00331
6806	DB00610
71534	DB00427
6805	DB00610
71533	DB00792
5293	DB00756
203140	DB00274
203142	DB01018
203143	DB00176
29365	DB02300
10565	DB01584
90	DB00159
94	DB02959
97	DB00208
253182	DB00030
1992	DB06774
21254	DB04837
1999	DB00411
1998	DB01197
1601667	DB11343
3992	DB00668
37319	DB06820
3013	DB00434
196342	DB12905
18927	DB00245
18926	DB00417
142152	DB00705
384379	DB01012
1546441	DB11577
1546440	DB04053
1546447	DB06819
6762	DB13392
1546445	DB02348
1311504	DB01370
29961	DB09224
1311507	DB11219
1311500	DB09137
1111103	DB08874
91063	DB00792
272758	DB06784
763450	DB06372
1373458	DB08907
353497	DB09351
1362689	DB11268
1652891	DB00318
20259	DB00429
1191	DB00945
1665509	DB04908
1362685	DB03995
29561	DB00760
21311	DB01553
37775	DB12343
203214	DB00586
37776	DB00853
37771	DB01405
30257	DB09242
1305723	DB12418
1753	DB09019
40968	DB00586
8163	DB00388
8160	DB00812
8164	DB00388
476818	DB11189
6979	DB01017
24524	DB01545
37578	DB09459
299635	DB00092
50097	DB13136
1653781	DB09272
38782	DB06825
1792776	DB11595
326374	DB06713
1652097	DB00813
34374	DB00860
34376	DB00860
8766	DB01608
8761	DB00782
1001	DB01435
34372	DB00860
8762	DB00782
1426872	DB06261
1426871	DB06261
683	DB00855
1426874	DB08824
623	DB01122
72257	DB00068
76887	DB09097
89810	DB00306
1298851	DB00296
72258	DB00068
1298846	DB11126
338036	DB00019
1302966	DB08889
66983	DB01338
813021	DB06716
627	DB01605
8013	DB00806
82055	DB01400
8011	DB00552
82057	DB01051
6572	DB06795
6573	DB06795
7454	DB00698
7455	DB00336
1733674	DB08831
6574	DB01378
24902	DB06783
155137	DB01104
139825	DB01307
28181	DB01587
8687	DB01087
34693	DB01839
1373	DB12867
1374	DB12783
258494	DB00990
668284	DB01274
1040028	DB08815
29900	DB13882
2032	DB11980
314832	DB13157
1364479	DB08827
1356552	DB08883
2192	DB01332
35208	DB00881
114477	DB01202
57047	DB12954
28981	DB00447
267476	DB00993
480167	DB01259
50676	DB00536
50675	DB00536
11378	DB09419
120608	DB00008
51272	DB01224
10960	DB09340
39171	DB00484
19143	DB06755
376	DB01285
55244	DB12958
56226	DB00239
32649	DB12086
6142	DB01009
2023	DB04339
6146	DB00920
1805706	DB11326
473837	DB06402
6781	DB13587
6782	DB01357
29418	DB13092
31901	DB01422
9873	DB09325
11289	DB00682
9871	DB00815
17621	DB11239
21116	DB03852
32626	DB04822
17627	DB01616
3740	DB01057
236558	DB01091
32009	DB11609
4626	DB11735
22701	DB09357
236553	DB00268
38253	DB01600
235288	DB00914
25120	DB00180
25126	DB12553
25437	DB08965
227227	DB00848
235773	DB08950
227225	DB00629
623400	DB06218
1009342	DB04910
235774	DB00295
235775	DB00670
1482501	DB09119
1597381	DB09183
235779	DB09069
69749	DB00177
32786	DB11570
153973	DB00854
787390	DB06204
1722365	DB05239
10803	DB00432
10463	DB08621
52101	DB00924
11017	DB02745
52105	DB01356
42933	DB00373
46276	DB13039
2451	DB00122
1796118	DB13146
39918	DB11176
1927851	DB12364
20473	DB01326
194000	DB01101
1926505	DB00218
173	DB00414
1721559	DB09330
141440	DB09335
885604	DB00334
21107	DB01166
877015	DB11596
4537	DB01942
4530	DB03843
4821	DB01067
7980	DB01053
227312	DB11577
7982	DB09323
46303	DB06288
7984	DB00417
235355	DB00152
46307	DB01025
81985	DB00907
81984	DB01242
42331	DB00929
42330	DB00342
42333	DB01157
10627	DB00684
33199	DB04930
10402	DB00470
10156	DB00364
10154	DB00202
134404	DB00094
10159	DB02772
10390	DB04844
81964	DB06698
81966	DB00217
1356127	DB00884
10395	DB00759
81963	DB09084
3521	DB00975
1427058	DB03902
1356128	DB00884
9627	DB00021
9624	DB00418
539399	DB06783
194279	DB00110
1307298	DB08899
236734	DB13114
37546	DB11770
18846	DB09011
80566	DB00437
102848	DB01382
6211	DB04465
102546	DB01624
54987	DB01345
1362912	DB12418
11377	DB01904
6813	DB00333
6812	DB00931
6814	DB01433
6816	DB01577
358262	DB01319
49953	DB00539
236931	DB00956
1225	DB00424
203153	DB00224
475230	DB06699
1363435	DB03017
1442199	DB03696
237044	DB06696
1872246	DB02961
25112	DB08972
304962	DB01274
1362927	DB03967
1114195	DB06228
1599564	DB09075
19874	DB01353
1749	DB01558
1592736	DB09079
1592737	DB09079
1311539	DB09407
1546451	DB09133
1546454	DB02406
1442171	DB06401
1546457	DB09268
1311530	DB03994
27403	DB08954
2878	DB01380
3355	DB00586
1362697	DB11695
3356	DB00485
3350	DB00720
3353	DB01144
91075	DB01190
996051	DB06772
133041	DB01392
58338	DB01624
58339	DB01624
864624	DB06402
1310122	DB11109
7069	DB04570
1311224	DB04532
1760	DB01200
2549	DB00568
54749	DB00592
6960	DB00683
6963	DB00211
8628	DB01058
8629	DB00457
8156	DB00120
12488	DB06789
8627	DB01588
8152	DB00191
8153	DB00692
8150	DB00946
40790	DB00213
1656328	DB09292
5509	DB09526
27604	DB08949
36435	DB01153
797195	DB06702
11118	DB00313
24395	DB00783
38298	DB01007
47686	DB11129
695	DB01424
11115	DB00161
1362747	DB01942
1534763	DB09043
1516803	DB06274
8718	DB00387
1311085	DB02134
1426867	DB13031
89552	DB11304
61686	DB01521
1593586	DB09049
89808	DB01494
221090	DB09449
221094	DB01084
221095	DB01225
1876905	DB12161
1545063	DB11644
8536	DB00781
7441	DB01054
7440	DB01595
38365	DB08811
7442	DB00435
91165	DB01364
1648695	DB08837
58301	DB11175
72625	DB00476
58300	DB11248
1388	DB00431
25953	DB03310
91217	DB00880
73710	DB00910
3827	DB00584
114052	DB02789
55322	DB00733
35216	DB12780
3327	DB01119
259280	DB00031
259281	DB00440
259282	DB09315
1597258	DB09052
259268	DB09425
1367175	DB11217
38323	DB09536
1789471	DB00039
1927663	DB11943
253158	DB09513
253156	DB00394
24313	DB01253
253155	DB00207
1535214	DB00848
72467	DB13050
7538	DB01051
266604	DB00765
32812	DB04257
362	DB00668
407990	DB01012
89013	DB01238
32673	DB01428
32675	DB01062
19605	DB08807
25734	DB06730
1248798	DB08894
27901	DB08943
73044	DB00912
1440051	DB09265
282357	DB00947
236158	DB01429
6779	DB00933
104463	DB01240
28894	DB13872
27392	DB11699
2346	DB00291
24605	DB00749
19777	DB12401
1788871	DB12052
1426482	DB02691
5879	DB00034
203174	DB01151
24608	DB08984
11295	DB09145
1799206	DB11613
1551571	DB02025
21125	DB08810
3752	DB01010
3755	DB00974
3754	DB01010
150596	DB09131
2191	DB00438
460132	DB01264
16728	DB00551
4637	DB00674
1426463	DB01646
214342	DB00258
4639	DB00483
31805	DB00665
231049	DB00216
259264	DB06785
968170	DB06811
1483317	DB11123
235768	DB12313
1659152	DB09302
1306109	DB01581
153718	DB01014
1306106	DB00184
1306107	DB00184
1306100	DB11164
1427193	DB02520
1367159	DB02178
1667640	DB01164
9500	DB01698
9506	DB00118
9504	DB00118
36314	DB12834
168	DB03166
281678	DB12418
167	DB00819
161	DB00316
84108	DB00412
340705	DB09126
1439834	DB09068
1537943	DB04817
898492	DB00048
236125	DB00586
10176	DB01581
4832	DB00040
7993	DB00183
81999	DB00343
1604346	DB09078
7995	DB00738
7994	DB00738
28872	DB00978
11636	DB01395
81994	DB01452
81997	DB00586
1922436	DB13173
9344	DB00811
235830	DB00715
45318	DB00596
235832	DB00409
5296	DB00488
70223	DB00041
235838	DB00857
57308	DB01030
32592	DB00526
21250	DB00838
60661	DB00783
81971	DB09015
3539	DB00974
3538	DB01003
17747	DB04452
10362	DB00444
1367088	DB11184
1815	DB00297
1817	DB08808
476588	DB01591
1813	DB01210
1819	DB00921
1367086	DB09479
10761	DB00620
53750	DB06804
10763	DB00384
10762	DB00620
10767	DB00897
6995	DB06810
236234	DB00441
1100699	DB08882
18891	DB11748
4335	DB08979
18896	DB00522
40169	DB00680
15842	DB12216
71517	DB00647
59636	DB00354
6370	DB00504
203128	DB00683
203129	DB01204
6371	DB00848
203122	DB00254
203123	DB00584
203120	DB04840
10502	DB00679
203126	DB00934
4162	DB01493
7337	DB00955
83929	DB00054
10634	DB00797
1364347	DB08901
237057	DB00001
1601	DB09019
237058	DB09552
3226	DB04209
6579	DB09407
236058	DB01413
1716278	DB05109
203836	DB01061
614373	DB01609
59839	DB00299
1546275	DB12754
612937	DB00018
317675	DB09509
662019	DB06813
59943	DB00724
10193	DB06147
3320	DB00271
3321	DB00271
3322	DB00829
191831	DB00065
5470	DB01275
106558	DB00721
33764	DB11616
1431738	DB08886
26826	DB00941
10184	DB00259
1546000	DB00319
10180	DB01015
10183	DB08798
1305744	DB11244
7052	DB00295
10188	DB00891
1487512	DB09076
41144	DB00225
1310542	DB02202
1546265	DB01356
1546268	DB00152
278739	DB00082
1310549	DB09154
1791686	DB05316
8149	DB00925
1311146	DB12582
1314420	DB12176
40230	DB11996
8638	DB00860
438399	DB06742
54552	DB00790
1157	DB00174
1156	DB00023
1151	DB00126
267073	DB01603
1546009	DB01137
1599827	DB00114
108118	DB00764
1546007	DB00369
5514	DB00200
1546005	DB00352
1546004	DB00373
62136	DB00959
87636	DB00950
1426853	DB01378
28439	DB00555
3036	DB00138
7992	DB06154
8703	DB01039
68244	DB00709
1311524	DB00168
8700	DB01035
34316	DB11090
8706	DB00433
8705	DB00433
8704	DB00433
644682	DB01264
34318	DB09418
1349278	DB12668
87639	DB12407
28395	DB12942
1298831	DB01409
1298832	DB01356
31565	DB01149
31563	DB00716
1298837	DB00594
17698	DB04836
1298839	DB00207
160460	DB06756
48933	DB01234
48937	DB00633
48936	DB00405
221088	DB01576
34530	DB01366
350374	DB06756
9997	DB00421
59308	DB11255
1313966	DB04789
8702	DB01168
3290	DB01529
6513	DB00256
8701	DB00721
1311525	DB01718
115265	DB00710
423	DB01426
1865953	DB05219
426	DB00160
22656	DB00304
31748	DB09220
267453	DB09395
4648	DB12923
1543173	DB09041
1299236	DB00281
283742	DB00736
1921877	DB12243
259454	DB01002
22380	DB03600
3626	DB01184
221946	DB04272
1745099	DB11569
259453	DB01002
7268	DB00826
11359	DB00137
233272	DB00307
253149	DB00036
10169	DB00634
177906	DB05273
39994	DB04828
1546354	DB09110
13982	DB03604
66895	DB09313
28656	DB00666
91531	DB09420
155080	DB06709
91535	DB09293
23386	DB01146
139233	DB13786
1102188	DB11210
22033	DB00606
1242806	DB05013
279950	DB08439
22037	DB00942
613391	DB06209
1147220	DB08881
1546871	DB00720
828529	DB00062
1298944	DB06366
1537050	DB09030
19295	DB04794
10996	DB00791
6765	DB06823
1325	DB01483
1364504	DB08903
60819	DB00006
6760	DB00371
24614	DB00773
22892	DB01495
9774	DB12982
1372538	DB04485
23678	DB00858
19768	DB09018
1873916	DB11730
82091	DB06691
16735	DB01063
819911	DB06771
17609	DB01370
1808546	DB04871
1808545	DB13180
16738	DB11696
24941	DB01592
2183	DB01328
2182	DB00274
2180	DB01327
2187	DB01330
2186	DB00493
4608	DB02703
2184	DB01329
1426458	DB09313
224905	DB00072
2188	DB00229
4603	DB00695
25389	DB01677
4601	DB00614
259275	DB00198
227240	DB00692
288999	DB01718
235758	DB00542
235759	DB00881
235757	DB00298
235751	DB00295
1928588	DB11834
31819	DB00507
402316	DB00419
6693	DB00784
6690	DB09124
1722380	DB05239
6694	DB00358
2438	DB04540
155	DB01614
221087	DB00694
135313	DB06826
1721603	DB09299
20861	DB08800
7839	DB09352
19831	DB01222
612865	DB06273
7832	DB00345
7833	DB00233
1369563	DB04481
25096	DB08974
1362885	DB02962
4511	DB00158
33212	DB00850
6185	DB00598
673579	DB01255
994808	DB00989
1491625	DB09046
857492	DB06204
11645	DB08826
52582	DB00244
135775	DB00315
9601	DB00747
10179	DB00576
9603	DB00747
57330	DB07615
203162	DB13092
1005920	DB08867
1005921	DB08867
5281	DB04703
10171	DB00359
10172	DB06150
10173	DB01299
10175	DB00664
52769	DB00235
21246	DB13158
21247	DB09004
21245	DB01013
7233	DB00607
10378	DB00894
81944	DB00787
81948	DB06723
39801	DB13781
27946	DB06706
7238	DB00844
21249	DB00838
99	DB00513
1363030	DB02774
853491	DB06168
1539968	DB05869
36567	DB00641
38377	DB09216
10561	DB09205
38574	DB02650
1808	DB00887
41208	DB00596
42955	DB00583
236599	DB00768
236595	DB13141
9518	DB08797
1300479	DB00992
14851	DB01080
155017	DB01176
33739	DB09286
18889	DB00892
1368168	DB13038
18880	DB09022
1362906	DB12519
1368533	DB11296
42405	DB00075
49428	DB13421
38617	DB00505
203130	DB00540
203133	DB01053
203132	DB01113
9771	DB11132
203134	DB00319
203137	DB01037
102745	DB01605
7301	DB11589
1367187	DB00162
3251	DB00035
21406	DB09270
3254	DB01260
3255	DB00547
236888	DB12230
1433211	DB08918
36108	DB01399
1433212	DB08918
236829	DB01102
1435864	DB12969
1311397	DB01880
237082	DB00953
1399	DB01086
1523	DB00217
1102129	DB08873
10207	DB00263
5463	DB08818
10205	DB01138
203220	DB00443
1427224	DB09149
3339	DB00527
1745257	DB00076
1427222	DB05829
1700	DB11326
1300476	DB01172
301739	DB00106
1546272	DB06757
1310551	DB03193
1368871	DB03462
1546279	DB02600
1390	DB11125
1546401	DB12546
1363564	DB09087
142436	DB00813
142437	DB01148
142434	DB01127
142435	DB00330
142432	DB00575
142430	DB00283
1314416	DB09571
83153	DB01133
6984	DB00350
142439	DB00956
1546019	DB01254
974779	DB08935
1368877	DB02255
1546014	DB00399
1546015	DB06213
36344	DB11127
19959	DB09488
3024	DB00151
3022	DB00847
525	DB01431
91188	DB00645
91189	DB09085
83719	DB00365
71767	DB01616
8737	DB00172
34323	DB01345
89959	DB00144
23663	DB00254
262323	DB00078
31555	DB04861
8047	DB01186
8048	DB01186
1091836	DB01656
72260	DB00790
1310171	DB12091
49247	DB00204
66955	DB00512
11002	DB03904
37317	DB13416
38386	DB02383
38382	DB09245
614391	DB01281
91588	DB09316
302285	DB00872
435	DB01001
430	DB00518
1370111	DB00166
616739	DB05271
1312397	DB08896
8462	DB09094
8463	DB01179
1297879	DB01415
1297878	DB01140
283753	DB00556
196239	DB00293
1807514	DB09499
5321	DB11254
1420982	DB04827
8196	DB12944
1425	DB09084
1366667	DB04161
8354	DB12492
221183	DB00425
55018	DB09414
55019	DB09413
1726987	DB06206
133054	DB00878
24591	DB13866
4118	DB00189
28889	DB00455
132889	DB06707
352372	DB06701
155075	DB00277
1311506	DB13089
19338	DB13746
57227	DB00662
32613	DB00991
28863	DB04948
1364532	DB04160
816346	DB05351
1366924	DB01990|DB04540
22537	DB01134
337068	DB00992
52918	DB12251
1659192	DB09143
4778	DB00406
51428	DB01306
6758	DB00849
4177	DB00292
4170	DB00823
4171	DB08987
720825	DB06207
227212	DB01210
662281	DB04868
6756	DB01365
4179	DB00773
6754	DB00454
1424174	DB08913
221054	DB09335
863035	DB04890
9947	DB00489
19759	DB01237
9945	DB01638
56476	DB13180
221058	DB00415
17618	DB01370
57789	DB00693
52358	DB13749
52356	DB11110
66896	DB09313
135091	DB11675
1426280	DB03088
42836	DB11145
22759	DB11994
349753	DB09449
82005	DB01081
1426447	DB00163
1875534	DB11945
1544460	DB09054
7674	DB12930
4617	DB02530
641465	DB06413
1306127	DB00171
235749	DB00452
46243	DB01375
46049	DB00088
1306121	DB06150
235743	DB00331
475969	DB06414
42545	DB09093
235745	DB01621
77655	DB00399
5924	DB00638
10834	DB00726
155323	DB00959
5928	DB08948
21877	DB09000
21655	DB01380
1368451	DB08909
52172	DB01188
20877	DB11121
20875	DB01243
52177	DB00873
52175	DB00678
4507	DB04842
1314351	DB13155
4501	DB00690
4500	DB00846
1543543	DB05015
4502	DB00712
7821	DB00595
236690	DB00952
4508	DB00499
7824	DB00107
61805	DB00348
22396	DB11921
57257	DB09091
57258	DB00697
56092	DB00462
190376	DB00601
17767	DB00381
20769	DB07565
1244607	DB08819
8985	DB11156
21272	DB00453
8987	DB00339
7222	DB00157
306674	DB00862
68139	DB00728
7226	DB01203
10691	DB00302
1427083	DB02779
81953	DB00415
89918	DB00125
1441546	DB06728
27518	DB12545
279951	DB08439
2406	DB01239
4980	DB09121
2404	DB00672
587318	DB03085
2403	DB00477
2400	DB01114
55175	DB12278
578285	DB12647
134547	DB06769
2408	DB09093
2409	DB00310
1925805	DB00140
10524	DB00156
679314	DB01267
58964	DB00708
14845	DB00964
33724	DB09090
1734630	DB11575
38609	DB11155
83947	DB00799
8871	DB12667
3248	DB01078
736680	DB04855
7315	DB01400
