rxcui 	 drugbank ids with divided |
1314344	DB01992
235991	DB00864
236539	DB00296
204144	DB01112
356887	DB06282
300195	DB00300
1649519	DB01670
1356758	DB08231
227778	DB00807
6058	DB00883
24812	DB00949
69722	DB00558
10471	DB00372
2101	DB00395
6051	DB01625
2105	DB00262
3489	DB08995
1608145	DB11081
41289	DB00308
11201	DB13374
10472	DB11590
1025342	DB11256
1603834	DB09060
474128	DB01265
314686	DB09456
314687	DB00018
203155	DB01146
20799	DB12453
30077	DB01226
597744	DB00398
3430	DB01775
578033	DB01279
235788	DB12911
50749	DB01218
2037	DB11588
2034	DB09157
102490	DB00514
1091643	DB08822
1368000	DB06203
4845	DB01296
53692	DB06712
4847	DB01296
53694	DB04743
274332	DB00731
1918231	DB11793
33332	DB09269
1547219	DB09039
83682	DB01066
10464	DB01154
29261	DB06757
353116	DB00246
1670007	DB09564
29268	DB06757
38260	DB09070
1310520	DB08880
36676	DB01390
3541	DB00280
83515	DB00876
7244	DB13169
314592	DB00343
20976	DB01303
20974	DB00122
58939	DB00048
237112	DB00688
1433347	DB06973
1442190	DB02379
54270	DB12086
11194	DB00194
11196	DB09185
11199	DB00570
11198	DB00570
30225	DB09285
2968	DB01000
1536069	DB11140
1309342	DB00071
91166	DB01364
91167	DB00388
323828	DB01098
91163	DB00940
3041	DB00987
6876	DB00968
91168	DB00852
1297771	DB01914
233698	DB04855
23321	DB01160
1314233	DB11296
259346	DB01592
1425983	DB04221
1603521	DB11875
67518	DB00592
40003	DB09225
30131	DB00691
977863	DB04920
1551291	DB09045
37617	DB01606
33767	DB01291
384455	DB00560
1091	DB00125
1483262	DB03566
4337	DB00813
677	DB00357
1311067	DB12481
4333	DB01288
4331	DB00573
91293	DB00735
29998	DB08888
3131	DB00746
37859	DB00624
3132	DB00746
14584	DB00294
1546168	DB09122
29682	DB00340
1418	DB09096
1314303	DB02159
1855064	DB00146
1731071	DB06717
29046	DB00722
283550	DB00097
595060	DB01270
86009	DB00046
229367	DB01369
229369	DB01764
1311669	DB05383
136411	DB00203
1597373	DB09297
6904	DB06710
8686	DB00750
6902	DB00959
6901	DB00422
8134	DB01174
5764	DB00808
8130	DB00498
82131	DB01004
8133	DB00830
165516	DB00687
1545992	DB00254
1545996	DB00968
1545999	DB00595
61609	DB01102
89795	DB09092
1256	DB00993
1525	DB01393
47622	DB13231
1520	DB00195
1251	DB00928
47628	DB11348
1102261	DB05521
309	DB00131
7402	DB06803
35617	DB01201
35619	DB01220
73689	DB04854
1726988	DB06206
4110	DB00330
8351	DB09210
8352	DB00670
1592254	DB04951
33738	DB01132
26422	DB00793
8356	DB00554
26420	DB00502
1362696	DB03568
35296	DB00178
7895	DB01113
24698	DB01073
32968	DB00758
19044	DB00676
19041	DB00767
82004	DB01075
7427	DB12172
7426	DB00393
24441	DB08986
74	DB02362
7421	DB11820
73178	DB04946
27792	DB09134
27793	DB09135
1727169	DB01672
1361657	DB09420
23405	DB01491
1426379	DB04167
6606	DB00772
1426374	DB13171
12449	DB08964
140108	DB00520
5942	DB04815
1362739	DB07726
84959	DB00053
17789	DB11128
1000146	DB00783
221100	DB01039
221101	DB00324
5781	DB00328
1307619	DB06616
221109	DB00071
1362699	DB11659
105655	DB01592
991743	DB00058
358257	DB06212
328134	DB00317
358255	DB00673
358258	DB00188
9020	DB13084
1306114	DB11210
1716191	DB09264
25025	DB01216
25793	DB01251
684879	DB00165
235450	DB00797
47858	DB05246
102846	DB08962
2358	DB00878
2359	DB00878
1545976	DB00318
1606274	DB09077
253202	DB00775
253201	DB11460
2356	DB00475
2354	DB08936
7930	DB01626
7934	DB01421
877510	DB06176
1926480	DB02640
4453	DB02266
4452	DB00687
4451	DB01099
4450	DB00196
4457	DB01205
9143	DB00863
1601995	DB00736
1895	DB01373
4459	DB04841
4458	DB00663
283838	DB00012
400008	DB01309
481474	DB01259
204175	DB01140
1368167	DB07810
34311	DB11153
24867	DB01550
1311342	DB09449
6023	DB00221
20814	DB03128
6026	DB00753
6027	DB00677
41277	DB00741
1423925	DB08690
3829	DB09477
195085	DB00625
1300488	DB00100
1535457	DB09063
1300486	DB00025
195088	DB01601
3429	DB01070
56946	DB01229
236612	DB00261
3423	DB00327
1364105	DB06663
1767	DB00835
2002	DB00564
12166	DB11220
1747556	DB11581
139778	DB01079
42676	DB00696
1028454	DB11256
4583	DB03283
4582	DB09256
480639	DB06274
9074	DB00468
1601374	DB09073
44281	DB00185
9071	DB00468
1311407	DB13110
1357536	DB08895
1294548	DB00872
10450	DB00730
10109	DB01082
9671	DB00133
1656052	DB06441
10454	DB00152
10459	DB01987
10106	DB00086
6964	DB00834
3554	DB00822
1872382	DB12095
1371907	DB11154
237108	DB09395
10580	DB09421
10582	DB00451
33740	DB08796
2176	DB00833
33742	DB01338
236987	DB06796
33746	DB00592
6308	DB00149
41127	DB01095
2913	DB11846
33253	DB01121
719	DB01351
89778	DB01057
59094	DB08999
712	DB06767
23043	DB06781
6759	DB00961
41493	DB00814
1306286	DB09101
6847	DB00474
6845	DB00423
38685	DB00662
29456	DB04711
5302	DB01355
5956	DB01362
29451	DB00351
20859	DB01161
1311323	DB09449
477320	DB00530
1311326	DB09449
7145	DB01024
1045452	DB08871
1045453	DB08871
4328	DB00574
1114325	DB05039
594	DB13160
597	DB00866
596	DB00404
1311070	DB06792
598	DB00770
1606197	DB04540
4327	DB08980
6757	DB00532
3141	DB11622
3143	DB01708
140502	DB09103
24272	DB08990
797541	DB02325
154985	DB00844
1546406	DB00282
137732	DB11136
700810	DB01255
569	DB06243
114934	DB11095
343047	DB01072
3384	DB00711
746741	DB00413
629565	DB01272
343048	DB00374
3389	DB00937
142442	DB00788
142441	DB00683
142440	DB00281
142447	DB01607
1362882	DB01909
142444	DB00420
1311490	DB12859
142448	DB00279
235373	DB01501
1311495	DB09398
118463	DB00275
1311670	DB05383
448	DB00898
1727455	DB11363
1040027	DB08815
577300	DB01367
1727454	DB11363
1331	DB11150
325887	DB01141
6932	DB01110
797196	DB06702
8699	DB01599
8698	DB01032
8129	DB00914
8126	DB02192
82122	DB01137
8124	DB00780
8123	DB00780
82126	DB01332
8120	DB01438
7704	DB00129
7701	DB13026
59078	DB00660
235721	DB04819
641	DB00479
643	DB00479
645	DB11561
644	DB00594
3098	DB00851
103447	DB08973
35373	DB12846
61381	DB00334
28817	DB01356
1591922	DB09027
1591923	DB06151
47364	DB00963
4103	DB00655
8348	DB01621
82010	DB00988
82012	DB00254
591622	DB01273
4109	DB00903
4108	DB00903
1597371	DB09296
8340	DB00592
8347	DB00236
82019	DB04841
8345	DB09350
1546380	DB01440
50121	DB00588
279645	DB00918
9641	DB11135
1293719	DB11159
318341	DB00002
17610	DB11573
38315	DB13091
91241	DB00968
7417	DB01115
7414	DB04145
17611	DB11081
7418	DB04552
24457	DB03994
3634	DB09167
28144	DB01084
24453	DB08989
642274	DB01256
1544124	DB09534
17614	DB13595
23437	DB00954
1801820	DB11611
1313234	DB11677
237159	DB13139
1306884	DB00258
56570	DB09098
283547	DB11186
10844	DB04571
10847	DB00792
10849	DB00427
4077	DB01215
1359086	DB03440
22054	DB04839
3966	DB01364
142133	DB09167
1433887	DB13873
1724429	DB11835
24830	DB08981
221118	DB09407
61148	DB00052
228790	DB01126
239	DB11617
3435	DB09115
3639	DB00997
35163	DB06816
3637	DB00561
60548	DB01276
1193326	DB08877
42463	DB00175
35406	DB00162
5775	DB09374
35400	DB00162
1727573	DB01172
5084	DB06786
38967	DB12248
2344	DB01563
69634	DB00020
235426	DB01085
1425099	DB08911
10368	DB00871
2348	DB00446
861634	DB08860
1492940	DB09148
27340	DB01189
408077	DB06806
52071	DB00132
1306064	DB00535
38865	DB12902
38866	DB11079
57021	DB06149
1306069	DB00919
1299928	DB09322
11404	DB00920
1889	DB00146
215247	DB06768
154	DB01418
1886	DB00201
1603833	DB09060
3706	DB00378
4463	DB08971
4460	DB01544
4461	DB00591
135391	DB00768
4919	DB00145
4917	DB00727
82100	DB09324
4910	DB09462
105694	DB00016
1430438	DB08916
6038	DB00951
35803	DB08806
1114693	DB06769
6033	DB00167
17268	DB00240
50975	DB06788
49737	DB00187
5175	DB03404
20178	DB04519
2653	DB00907
1300701	DB04871
6980	DB01017
152761	DB00659
6102	DB01575
1445143	DB00332
1547611	DB04911
1368624	DB04557
3418	DB00320
1368626	DB02579
116240	DB13301
1653802	DB01284
221099	DB13152
1086769	DB06684
1086768	DB06684
1598096	DB06614
6834	DB13520
1599788	DB09029
235559	DB00698
2019	DB00190
2018	DB02329
1652103	DB11586
235552	DB00438
2017	DB02329
2011	DB09012
235554	DB00931
1426595	DB02795
9061	DB01103
9060	DB04216
10288	DB09203
1742994	DB03066
9068	DB00908
53654	DB00238
21579	DB06778
1362871	DB00141
475342	DB01254
19698	DB11279
619693	DB06614
8353	DB12478
3565	DB00202
6878	DB09241
106101	DB00935
7258	DB00788
5333	DB05381
10591	DB01607
10594	DB00208
236778	DB00209
203171	DB01327
202912	DB00011
236774	DB06623
4488	DB00322
10553	DB02513
6854	DB00553
115698	DB00246
2907	DB00148
6853	DB00723
6852	DB01403
704	DB00321
1306065	DB11140
703	DB01118
20352	DB01136
91104	DB00318
26925	DB05381
1243041	DB08820
1597818	DB06663
1872047	DB02365
34905	DB00807
38623	DB13747
1546365	DB00733
68099	DB00426
1441689	DB11311
40028	DB00029
237005	DB01227
1311311	DB09449
68091	DB00757
68092	DB06791
1546369	DB00406
6582	DB01377
6581	DB09104
83008	DB01128
72965	DB01006
847728	DB06708
34345	DB00733
34347	DB09345
1091642	DB08822
9806	DB12604
896038	DB03895
7623	DB01165
3154	DB00618
1546414	DB08167
1546415	DB09293
149	DB01193
1739745	DB05541
1552337	DB09048
1546413	DB00725
1436	DB01244
3390	DB00255
3393	DB00861
20220	DB00748
28554	DB08939
28004	DB01020
644101	DB01271
1919503	DB11714
7688	DB00816
1314365	DB02249
1348	DB00394
283821	DB00049
115238	DB00102
21090	DB01188
1347	DB00394
23088	DB01551
318	DB00171
6929	DB06148
8113	DB03783
6927	DB00948
6926	DB00379
9872	DB01077
6920	DB01578
6923	DB01011
6922	DB00916
1372638	DB00451
7712	DB02262
7715	DB01173
38252	DB09289
11153	DB01339
1665684	DB09303
5542	DB06789
4462	DB01047
32559	DB04224
993449	DB06643
29155	DB09481
29151	DB08938
8597	DB06715
1299782	DB00567
8591	DB00761
8372	DB01604
8373	DB06153
158387	DB01113
82063	DB00497
82065	DB00595
82064	DB01192
35382	DB11085
82069	DB01626
34568	DB00837
1673367	DB09291
606396	DB09532
50138	DB08967
12574	DB00441
25916	DB00142
31958	DB12927
298869	DB00700
91251	DB00501
7405	DB02701
1193325	DB08877
7407	DB00184
1364374	DB01582
8328	DB01085
214470	DB00004
117055	DB00087
16054	DB11336
19737	DB00963
593411	DB01261
1366887	DB00974
1649527	DB04242
1421151	DB09132
6628	DB00742
1426680	DB00028
10391	DB09085
5936	DB04711
32698	DB00383
259480	DB06623
13714	DB11115
857649	DB11315
9894	DB09112
9895	DB00325
1800664	DB11123
9893	DB00607
221163	DB09154
221161	DB00203
31005	DB11102
221167	DB01606
228783	DB00998
3628	DB00988
183875	DB08968
41996	DB06144
19551	DB00885
19884	DB00639
141366	DB00952
29950	DB01336
1544577	DB11371
235737	DB00321
1927662	DB11943
11413	DB00495
11416	DB01593
1306093	DB09093
6130	DB01221
6131	DB12465
4719	DB01241
6135	DB01026
82036	DB01627
1596	DB09020
1242987	DB08828
25480	DB00996
1425222	DB08912
25483	DB00597
25486	DB00789
3714	DB00651
9478	DB00778
1367839	DB05528
1424911	DB08912
38891	DB00209
38893	DB13124
13369	DB09496
1862578	DB12332
477631	DB00237
802624	DB08884
732187	DB06589
9785	DB12965
4678	DB01004
4903	DB01437
105069	DB00704
1659191	DB09143
227214	DB01329
81864	DB00523
1010598	DB01183
7394	DB04820
7396	DB00622
39786	DB00285
7393	DB00627
153374	DB00764
134527	DB00220
7398	DB00699
5140	DB09155
3403	DB01396
75635	DB00063
3407	DB00390
1094833	DB06186
3409	DB12945
20767	DB00446
1535922	DB05578
1482913	DB09161
38546	DB00620
7531	DB00540
38413	DB00214
1235585	DB06817
6313	DB00650
1428833	DB11185
10612	DB00911
42612	DB01003
1598641	DB09047
1294563	DB01139
1006469	DB03756
220982	DB01392
1547770	DB03895
1294569	DB00736
236388	DB00825
45045	DB09495
10438	DB00277
82124	DB01177
22968	DB09123
1595589	DB09561
34822	DB13149
10432	DB01041
139953	DB01278
10437	DB01412
7247	DB06711
237160	DB13139
83818	DB01029
7243	DB00704
7242	DB01183
7240	DB00779
596554	DB04876
5093	DB00502
83816	DB00705
1427065	DB11272
860178	DB00042
4496	DB00623
4494	DB01185
4493	DB00472
203189	DB00959
4491	DB00324
9789	DB11080
274786	DB00976
203180	DB00668
203181	DB01170
274783	DB00047
1363268	DB08875
6821	DB00940
6822	DB04819
6823	DB04833
6825	DB00463
6826	DB00703
592464	DB09009
1435108	DB08357
1546223	DB00271
33272	DB01579
1363267	DB08875
152021	DB00804
203164	DB00165
20343	DB00821
1426391	DB11260
203160	DB00678
91138	DB00408
91135	DB01623
203168	DB00321
91130	DB00831
1043181	DB08846
38668	DB01108
314495	DB00613
1902	DB09116
8814	DB01240
33656	DB00981
1658314	DB09128
33309	DB00832
1314261	DB12816
40036	DB11125
37806	DB00251
37801	DB00857
8745	DB01069
8742	DB00420
15080	DB09516
1546428	DB00180
1546421	DB01010
1546425	DB04160
1546424	DB12529
1546427	DB02731
1919083	DB06595
4981	DB09276
1422	DB00865
3368	DB00890
1424	DB00245
1426	DB06770
3364	DB00900
28012	DB08802
1803717	DB11674
3361	DB00804
3363	DB00943
29787	DB09543
733	DB00415
121191	DB00073
1043213	DB01147
739	DB00276
738	DB01427
1314372	DB09473
1486025	DB09151
1487514	DB09076
4278	DB00927
72611	DB01066
72610	DB00197
1362139	DB00246
1040005	DB06590
2015	DB00578
5556	DB07118
5553	DB00557
5552	DB01005
9860	DB00456
9863	DB09153
1202	DB00335
9864	DB01147
91311	DB00223
24506	DB12131
339270	DB01079
8588	DB01345
1309396	DB00862
38085	DB11582
357977	DB01268
141400	DB00718
3392	DB09095
1514	DB00443
1517	DB00443
1516	DB00443
1511	DB06698
1512	DB06756
1000082	DB06766
1303097	DB08897
1303098	DB08897
47187	DB00901
47181	DB09275
979509	DB11596
5882	DB00033
8565	DB01324
486164	DB00070
82077	DB01174
1366567	DB08902
1425419	DB09563
82078	DB00191
1112973	DB06681
1541246	DB03581
24855	DB13042
2540	DB01597
6553	DB00589
9066	DB04575
1659205	DB12362
1546059	DB09080
31435	DB00385
1044584	DB08869
91269	DB00142
55176	DB12278
7476	DB00325
261715	DB00855
35220	DB00908
261718	DB09351
220087	DB00359
1364499	DB02579
72435	DB00026
56455	DB03793
35797	DB00817
273888	DB11168
22696	DB00405
22697	DB13679
485417	DB00496
1549332	DB02345
282415	DB00915
314838	DB09449
4018	DB00153
253453	DB00022
1374802	DB09125
588250	DB04896
24609	DB08983
259493	DB13166
29410	DB12554
1897	DB06724
5976	DB09333
9887	DB09333
9886	DB09133
9884	DB11119
7500	DB04821
475968	DB06655
9881	DB11123
9880	DB11151
221171	DB09552
221173	DB01124
221172	DB00373
7508	DB00368
221174	DB01036
221177	DB00685
221176	DB00440
21009	DB09129
1729002	DB11362
1307404	DB08890
1539753	DB09040
1362872	DB03175
235398	DB00892
711942	DB06210
2323	DB06777
84857	DB01217
1743286	DB06590
29209	DB12751
235408	DB00628
227518	DB00066
215799	DB01401|DB00936
235402	DB00527
69893	DB12602
10958	DB08841
83395	DB01232
281	DB00787
1242999	DB06626
1362875	DB06894
27169	DB01097
1608322	DB06636
1368001	DB06203
25138	DB00693
52014	DB12472
21914	DB12766
640062	DB06213
32022	DB01486
40001	DB01198
223779	DB11107
23035	DB09095
1673704	DB09270
25102	DB01073
6011	DB01247
88014	DB00953
1549106	DB11256
1876119	DB12865
1356715	DB01077
2496	DB11136
2193	DB01212
2194	DB01112
24852	DB13873
24853	DB00800
1368130	DB07352
7891	DB01783
71535	DB01339
235972	DB00382
9260	DB00206
1368647	DB07767
10737	DB00656
10734	DB00752
10735	DB09283
60245	DB11783
110	DB11145
39937	DB01593
25789	DB00222
1872441	DB12095
1433867	DB08930
236379	DB11738
38409	DB00539
38400	DB00289
36453	DB01236
275891	DB01610
38404	DB00273
35302	DB00877
10600	DB00373
33431	DB09209
53017	DB00941
235370	DB06824
9462	DB01301
327361	DB00051
57048	DB02638
1306284	DB09065
1433868	DB08930
235379	DB00085
1545975	DB01140
18469	DB01208
1796	DB13346
1547099	DB09034
9644	DB11142
1547545	DB09037
236991	DB00758
39684	DB00751
18867	DB00542
314718	DB01378
68149	DB00688
3500	DB01081
68147	DB00050
194337	DB02546
401713	DB06775
860168	DB00083
9793	DB05245
2670	DB00318
203199	DB00344
2672	DB00318
828682	DB06716
203192	DB01183
203190	DB00247
203197	DB01438
203195	DB00417
203194	DB00345
6832	DB06799
18609	DB08795
6837	DB00134
6835	DB00763
1656051	DB06441
18602	DB00548
18603	DB00972
18600	DB00719
6857	DB01028
203175	DB00711
8004	DB00312
203177	DB00327
203176	DB00320
274771	DB01280
203170	DB00611
203172	DB01212
6851	DB00563
91125	DB00508
91127	DB01063
1984	DB12328
8410	DB00009
1982	DB12221
1981	DB09015
1606218	DB09102
38655	DB08814
82042	DB01365
1606217	DB09102
341248	DB00973
76895	DB00015
142149	DB00889
1299904	DB00207
237027	DB00873
35827	DB00465
34369	DB01130
18989	DB03793
8770	DB00777
1862579	DB12332
1455099	DB09068
1546438	DB00986
54365	DB11106
298665	DB06802
7646	DB00338
1376156	DB11933
1385	DB12319
15657	DB01262
360288	DB00216
33688	DB09268
322249	DB00998
322248	DB00300
1314347	DB11259
539765	DB00514
29008	DB11231
37925	DB01083
1311201	DB11348
725	DB00182
722	DB00543
723	DB01060
720	DB00613
1435287	DB04734
9010	DB00205
1731031	DB11560
1594675	DB09162
20890	DB06725
284924	DB00619
8175	DB00397
1665222	DB09144
1169	DB00128
47998	DB00446
35161	DB00119
733003	DB06809
5521	DB01611
9509	DB12418
6466	DB01206
40575	DB00744
89753	DB00233
114817	DB08806
25842	DB04564
11170	DB00661
72937	DB00323
44	DB09110
1292	DB00181
495881	DB00398
47579	DB00248
9384	DB01045
73645	DB00577
594680	DB00632
266663	DB00716
27199	DB00741
1440264	DB08878
82048	DB00948
82047	DB00916
1298840	DB00180
1298842	DB00715
82043	DB01227
8001	DB00652
27196	DB00741
27197	DB00741
28198	DB08940
15070	DB08905
155122	DB04824
1251576	DB11421
3194	DB03619
1362	DB01075
1648126	DB11596
1361	DB09023
1482790	DB06290
236457	DB08800
1369	DB00436
