rxnorm_cui 	 drugbank_ids with | as seperator  
3319	DB00271
1424911	DB08912
1494066	DB09031
10864	DB13179
8123	DB00780
1303098	DB08897
4845	DB01296
5933	DB05382
1091836	DB01656
42372	DB00410
8463	DB01179
8153	DB00692
19874	DB01353
7517	DB01059
1370971	DB04938
10184	DB00259
8727	DB00396
2890	DB01284
113608	DB02703
7909	DB09117
6901	DB00422
3339	DB00527
10510	DB01623
13369	DB09496
1440264	DB08878
33738	DB01132
24460	DB06689
8152	DB00191
1511	DB06698
2541	DB00501
857974	DB06335
11149	DB00067
623400	DB06218
18330	DB01169
6102	DB01575
11295	DB09145
67108	DB01225
7646	DB00338
1455099	DB09068
6308	DB00149
4169	DB08985
325887	DB01141
3829	DB09477
89013	DB01238
614373	DB01609
236809	DB01381
36118	DB00017
83818	DB01029
32698	DB00383
58939	DB00048
4488	DB00322
274332	DB00731
17652	DB00288
4083	DB00783
140480	DB00702
82122	DB01137
30077	DB01226
6387	DB00281
2582	DB01190
32638	DB00239
1546437	DB01344
593411	DB01261
22298	DB00298
9525	DB00936
612865	DB06273
31563	DB00716
21766	DB00265
114817	DB08806
140587	DB00482
25696	DB01645
1442981	DB09053
141440	DB09335
214342	DB00258
37925	DB01083
7704	DB00129
279645	DB00918
1606218	DB09102
68139	DB00728
2970	DB04838
4462	DB01047
195088	DB01601
25486	DB00789
40028	DB00029
3429	DB01070
155	DB01614
15996	DB00370
7258	DB00788
5495	DB00774
10207	DB00263
388084	DB00044
641465	DB06413
233603	DB04920
139896	DB00109
84959	DB06720|DB00053
1540825	DB09042
1357536	DB08895
9997	DB00421
11516	DB06410
342369	DB00480
7243	DB00704
46049	DB00088
59078	DB00660
5470	DB01275
28382	DB09236
55681	DB00896
6211	DB04465
43611	DB00654
1427088	DB08844
38386	DB02383
20220	DB00748
1489913	DB06262
38365	DB08811
23386	DB01146
3248	DB01078
237005	DB01227
25120	DB00180
72257	DB00068
2101	DB00395
1596	DB09020
62372	DB08818
10471	DB00372
6857	DB01028
115552	DB00685
20976	DB01303
32385	DB01250
49247	DB00204
37935	DB06764
8629	DB00457
229369	DB01764
10636	DB00500
1156	DB00023
816346	DB05351
6185	DB00598
60819	DB00006
51272	DB01224
658708	DB05311
25357	DB00066
70167	DB13144
19484	DB00612
8129	DB00914
3966	DB01364
10627	DB00684
1543543	DB05015
6058	DB00883
6623	DB06757
36685	DB09460
7396	DB00622
860178	DB00042
2420	DB08862
282388	DB00619
9947	DB00489
228833	DB00538
8160	DB00812
4118	DB00189
1232150	DB08885
1306284	DB09065
733003	DB06809
325642	DB00303
1371041	DB05773
1433212	DB08918
89784	DB01625
19552	DB01150
337523	DB04845
25480	DB00996
7779	DB00621
614391	DB01281
1544460	DB09054
484348	DB09539
805452	DB05332
18631	DB00207
2549	DB00568
11258	DB01022
2236	DB00456
121243	DB00582
194000	DB01101
1597381	DB09183
8183	DB00252
8698	DB01032
337623	DB00003
1482790	DB06290
135447	DB00843
33724	DB09090
8674	DB04825
4815	DB01016
25193	DB06623
234416	DB06792
214354	DB00796
3449	DB08801
2346	DB00291
4637	DB00674
1489914	DB09051
2183	DB01328
5509	DB09526
6378	DB00854
1441651	DB05098
42682	DB01077
235408	DB00628
84108	DB00412
8004	DB00312
7833	DB00233
6980	DB01017
9641	DB11135
221147	DB09287
402316	DB00419
47618	DB00326
237162	DB09214
5307	DB08957
29170	DB09281
236650	DB08970
6676	DB00737
83682	DB01066
35302	DB00877
6902	DB00959
25096	DB08974
3444	DB00985
3098	DB00851
7440	DB01595
228783	DB00998
853491	DB06168
8175	DB00397
6813	DB00333
6851	DB00563
91311	DB00223
6932	DB01110
37617	DB01606
3008	DB00091
7247	DB06711
17767	DB00381
31914	DB00906
11413	DB00495
6468	DB00836
1551291	DB09045
341018	DB00362
56946	DB01229
2019	DB00190
5514	DB00200
274771	DB01280
2177	DB01140
9478	DB00778
3743	DB01127
36709	DB09449
4440	DB01148
6066	DB08941
641	DB00479
9518	DB08797
228476	DB01044
6860	DB00232
1597876	DB09035
6142	DB01009
73689	DB04854
283821	DB00049
8134	DB01174
161	DB00316
3521	DB00975
1425099	DB08911
753340	DB00360
38260	DB09070
50610	DB00014
239	DB11617
1373478	DB08908
1491625	DB09046
49737	DB00187
1300701	DB04871
5833	DB13178
642274	DB01256
9601	DB00747
343047	DB01072
1546451	DB09133
107044	DB00098
24909	DB09146
23043	DB06781
1908	DB11126
8091	DB11058
591622	DB01273
24609	DB08983
3384	DB00711
6918	DB00264
89778	DB01057
1311504	DB01370
9800	DB09142
8076	DB00850
34905	DB00807
40169	DB00680
3920	DB00228
25789	DB00222
134547	DB06769
72302	DB00268
3752	DB01010
6033	DB00167
4850	DB01914|DB09341
3714	DB00651
4601	DB00614
8766	DB01608
10633	DB00839
47628	DB11348
258347	DB08818
2578	DB00283
10827	DB00347
1325	DB01483
272758	DB06784
3353	DB01144
40114	DB01018
1399	DB01086
10205	DB01138
119565	DB01036
10328	DB09372
81647	DB06819
72962	DB01248
10109	DB01082
29275	DB09238
236770	DB09295
386938	DB00066
1147220	DB08881
4508	DB00499
20875	DB01243
32613	DB00991
27781	DB09156
1029	DB07402
6718	DB01042
57230	DB01133
2447	DB01432
260101	DB00198
7839	DB09352
6130	DB01221
10735	DB09283
33309	DB00832
21183	DB04272
2599	DB00575
62356	DB00158
42627	DB03619
139462	DB00218
1543095	DB11607
25037	DB00535
134615	DB00484
1364479	DB08827
10582	DB00451
7910	DB01384
2622	DB01559
6664	DB00579
6845	DB00423
6821	DB00940
6822	DB04819
7238	DB00844
861634	DB08860
10173	DB01299
475969	DB06414
5650	DB01177
831503	DB09222
7052	DB00295
54552	DB00790
1492727	DB05676
5032	DB00874
15657	DB01262
719872	DB06817
27792	DB09134
620	DB00915
709271	DB08904
8787	DB00571
7514	DB00717
3254	DB01260
318	DB00171
2592	DB00845
60548	DB01276
150596	DB09131
302379	DB00043
1649480	DB09083
261435	DB09517
400008	DB01309
20859	DB01161
3626	DB01184
42955	DB00583
13982	DB03604
349908	DB06724
10318	DB00382
3368	DB00890
588250	DB04896
83367	DB01076
8516	DB09287
276237	DB00879
6475	DB00408
5657	DB01181
135775	DB00315
1311524	DB00168
7069	DB04570
10689	DB00193
9068	DB00908
53692	DB06712
597	DB00866
10223	DB09353
6375	DB01235
19959	DB09488
2187	DB01330
19551	DB00885
173	DB00414
57257	DB09091
8150	DB00946
10634	DB00797
2907	DB00148
9793	DB05245
42355	DB00176
1442132	DB08932
42319	DB00585
7806	DB09140
498509	DB04895
1484911	DB08934
5882	DB00033
2023	DB04339
73032	DB00899
10464	DB01154
1594675	DB09162
8703	DB01039
677	DB00357
7242	DB01183
299582	DB00103
4550	DB00828
1364430	DB06605
6852	DB01403
18346	DB09274
30131	DB00691
202912	DB00011
1086769	DB06684
10378	DB00894
36435	DB01153
42405	DB00075
6646	DB00934
337525	DB00530
787390	DB06204
3105	DB01219
1897	DB06724
40254	DB00313
5036	DB01170
477631	DB00237
235481	DB06773
1546059	DB09080
5992	DB00893
6837	DB00134
1111103	DB08874
61381	DB00334
39998	DB00909
19044	DB00676
10898	DB00150
4077	DB01215
1952	DB01744
23370	DB01231
1311089	DB04932
384455	DB00560
298665	DB06802
9624	DB00418
21877	DB09000
258494	DB00990
5966	DB08947
1364468	DB08900
3022	DB00847
7442	DB00435
1037042	DB06695
115264	DB00710
616739	DB05271
591781	DB01257
105695	DB00016
7435	DB00401
10591	DB01607
14845	DB00964
183379	DB00989
30009	DB00491
2020	DB00389
10106	DB00086
53750	DB06804
5021	DB00400
1992	DB06774
1418	DB09096
2410	DB00356
7773	DB00713
2408	DB09093
72937	DB00323
1482913	DB09161
78903	DB00314
10498	DB01622
7778	DB01096
1713	DB00042
72610	DB00197
6805	DB00610
7233	DB00607
10502	DB00679
40660	DB09088
77655	DB00399
34693	DB01839
102846	DB08962
4496	DB00623
89886	DB11603
23024	DB01501
19478	DB01294
283753	DB00556
6916	DB00524
7617	DB00104
48937	DB00633
1157	DB00174
8737	DB00172
33764	DB11616
235379	DB00085
28981	DB00447
27793	DB09135
5880	DB00105
73645	DB00577
3024	DB00151
448	DB00898
8133	DB00830
6750	DB00825
6812	DB00931
42954	DB00165
155080	DB06709
1841	DB00611
68149	DB00688
35617	DB01201
8345	DB09350
10178	DB01582
1307298	DB08899
7244	DB00984
168	DB03166
17145	DB00600
6023	DB00221
82819	DB00659
7816	DB03585
7818	DB00219
10324	DB00675
68092	DB06791
1009	DB11598
114970	DB00549
1256	DB00993
1760	DB01200
40450	DB11364
139953	DB01278
8825	DB09141
9010	DB00205
746741	DB00413
1598	DB00266
3292	DB00509
280611	DB09258
236303	DB08835
1808	DB00887
480639	DB06274
108088	DB00240
21232	DB00771
32937	DB00715
1895	DB01373
7895	DB01113
67182	DB08792
8627	DB01588
6674	DB00888
29899	DB06800
214824	DB00658
1304974	DB08887
9384	DB01045
352372	DB06701
42736	DB00380
46307	DB01025
1601374	DB09073
6765	DB06823
28889	DB00455
9000	DB00545
4331	DB00573
56443	DB09395
8132	DB01620
358262	DB01319
430	DB00518
1546438	DB00986
9913	DB00464
4110	DB00330
29439	DB00253
5464	DB00070
1040005	DB06590
692620	DB00743
4444	DB08976
349730	DB01914
18993	DB00868
83395	DB01232
31805	DB00665
337068	DB00992
28872	DB00978
1148138	DB06196
1588	DB00121
2449	DB00122
31994	DB00957
9945	DB01638
6853	DB00723
18880	DB09022
6373	DB00367
214817	DB06760
16735	DB01063
3363	DB00943
3389	DB00937
2626	DB00363
2192	DB01332
6823	DB04833
631657	DB00030
8638	DB00860
2977	DB01176
47461	DB01091
27244	DB11602
6585	DB00653
2051	DB00429
528	DB01430
627	DB01605
3616	DB00841
38323	DB09536
1094833	DB06186
136198	DB00496
3154	DB00618
8332	DB00960
357977	DB01268
8120	DB01438
10962	DB00135
683	DB00855
2551	DB00537
55672	DB00615
3423	DB00327
1364504	DB08903
8702	DB01168
1364105	DB06663
6760	DB00371
72236	DB01320
4452	DB00687
1291301	DB06237
42987	DB09490
30125	DB00745
38454	DB00519
3638	DB01142
10437	DB01412
26422	DB00793
2473	DB09301
7980	DB01053
10524	DB00156
525	DB01431
7455	DB00336
38221	DB04900
473837	DB06402
10759	DB00620
7315	DB01400
6745	DB00032
1424174	DB08913
3041	DB00987
6694	DB00358
132889	DB06707
7821	DB00595
10869	DB00809
155122	DB04824
68147	DB00050
2011	DB09012
11256	DB00163
71535	DB01339
6779	DB00933
4134	DB00392
7407	DB00184
1514	DB00443
33431	DB09209
18867	DB00542
1356552	DB08883
26397	DB06696
4089	DB01196
10849	DB00427
10193	DB06147
1248798	DB08894
28031	DB01167
1439816	DB08931
588003	DB00939
353110	DB06692
62349	DB00903
2037	DB11588
3992	DB00668
7299	DB00994
114477	DB01202
6446	DB00589
435	DB01001
1425	DB09084
3304	DB01452
164	DB03166
40003	DB09225
47181	DB09275
19884	DB00639
541	DB05258
41996	DB06144
253166	DB09317
24605	DB00749
73178	DB04946
1309250	DB09567
9671	DB00133
40138	DB01088
5487	DB00999
742	DB01612
36567	DB00641
48203	DB00766
5093	DB00502
1311560	DB13116
7880	DB00085
10798	DB06824
5856	DB00030
5775	DB09374
7688	DB00816
25483	DB00597
1484283	DB09146
27863	DB09136
108118	DB00764
59763	DB00649
1272	DB00355
11476	DB01133
689	DB01223
11194	DB00194
7019	DB01618
5175	DB03404
10395	DB00759
23684	DB06751
39385	DB11621
73056	DB00884
10473	DB04572
6832	DB06799
3755	DB00974
644101	DB01271
1431738	DB08886
5296	DB00488
8156	DB00120
1294580	DB00056
263034	DB01269
272	DB09278
274964	DB01410
1488818	DB09138
5492	DB00741
1011650	DB09208
32626	DB04822
2596	DB00882
7975	DB00859
73710	DB00910
253174	DB10989
153970	DB00424
38655	DB08814
1552337	DB09048
1291	DB00626
7891	DB01783
6377	DB06793
1523	DB00217
1607976	DB09147
7597	DB00646
1815	DB00297
3290	DB01529
4025	DB00696
4166	DB01466
594680	DB00632
662281	DB04868
221109	DB00071
535	DB00058
4135	DB00593
7454	DB00698
41126	DB00588
9143	DB00863
74667	DB00962
1539239	DB06219
4919	DB00145
1243041	DB08820
42330	DB00342
6927	DB00948
8536	DB00781
62400	DB01783
37798	DB01162
194	DB03128
1767	DB00835
10805	DB00508
121191	DB00073
640062	DB06213
4278	DB00927
4719	DB01241
25025	DB01216
67031	DB08813
120608	DB00008
1424	DB00245
18747	DB01014
7814	DB01192
36721	DB09472
19666	DB04899
25793	DB01251
6628	DB00742
5784	DB08950
7883	DB01337
29787	DB09543
6926	DB00379
5879	DB00034
24524	DB01545
259351	DB00103
33199	DB04930
719	DB01351
1592257	DB11256
39684	DB00751
739	DB00276
3498	DB01075
4493	DB00472
461016	DB00402
25544	DB05260
62427	DB01586
8351	DB09210
8259	DB09394
27901	DB08943
29365	DB02300
6470	DB00186
1482680	DB08933
228656	DB00701
7676	DB11130
1242999	DB06626
60307	DB00494
4507	DB04842
253337	DB00112
25112	DB08972
2921	DB01003
33253	DB01121
3361	DB00804
3255	DB00547
4491	DB00324
3637	DB00561
10154	DB00202
5553	DB00557
4328	DB00574
1045453	DB08871
4778	DB00406
1547545	DB09037
3108	DB00250
20486	DB00923
10917	DB01199
2180	DB01327
23410	DB00449
2396	DB00880
42333	DB01157
797541	DB02325
21249	DB00838
233698	DB04855
662019	DB06813
1040028	DB08815
2238	DB01139
10767	DB00897
4171	DB08987
11289	DB00682
28012	DB08802
18343	DB06697
5140	DB09155
41208	DB00596
306266	DB00442
59943	DB00724
37255	DB00139
8352	DB00670
39993	DB00425
7441	DB01054
27403	DB08954
7993	DB00183
37665	DB09164
8794	DB00550
2191	DB00438
10737	DB00656
8149	DB00925
8013	DB00806
2356	DB00475
21009	DB09129
114979	DB01129
592464	DB09009
57330	DB07615
19257	DB01019
9061	DB01103
35829	DB00243
70161	DB05386
154	DB01418
2567	DB00155
57308	DB01030
187832	DB00230
31555	DB04861
8742	DB00420
9071	DB00468
41144	DB00225
70602	DB00142
33742	DB01338
897018	DB06637
18687	DB01602
290	DB00173
1894	DB00136
11423	DB09321
8050	DB01074
20492	DB01415
73044	DB00912
860168	DB00083
2178	DB01326
53654	DB00238
475230	DB06699
712566	DB06650
74671	DB09067
31565	DB01149
23405	DB01491
3288	DB01576
114176	DB01624
325526	DB01404
1001	DB01435
1520	DB00195
1373458	DB08907
10612	DB00911
10826	DB09069
20063	DB09311
50166	DB00492
25734	DB06730
18516	DB01574
10472	DB11590
2403	DB00477
155046	DB00686
8754	DB01182
84990	DB06703
772	DB05099
149	DB01193
4821	DB01067
4494	DB01185
16728	DB00551
6754	DB00454
6847	DB00474
1043	DB00714
8331	DB01100
5928	DB08948
2354	DB08936
52151	DB06794
4125	DB00965
196239	DB00293
190353	DB00111
38782	DB06825
235479	DB09100
87636	DB00950
117466	DB00300
2002	DB00564
29528	DB01071
1307106	DB00139
57021	DB06149
4024	DB01049
2837	DB09130
569	DB06243
27392	DB11699
35296	DB00178
997261	DB06688
55685	DB00884
1889	DB00146
326374	DB06713
314636	DB03843
11196	DB09185
1000082	DB06766
7337	DB00955
578033	DB01279
877510	DB06176
8792	DB06714
1535922	DB05578
7418	DB04552
12574	DB00441
2550	DB00827
596205	DB00980
7222	DB00157
35780	DB00296
10580	DB09421
253182	DB00030
2708	DB01111
4495	DB00875
34132	DB00059
8948	DB11601
712	DB06767
24867	DB01550
596	DB00404
10368	DB00871
2393	DB00608
278567	DB00580
612937	DB00018
59744	DB00069
307296	DB01628
1753	DB09019
5011	DB00027
49626	DB04880
19008	DB00562
278739	DB00082
4463	DB08971
1592254	DB04951
56466	DB09154
10795	DB08604
38252	DB09289
4053	DB00199
4903	DB01437
1314351	DB13155
5640	DB01050
8299	DB00981
42375	DB00007
6581	DB09104
37801	DB00857
26225	DB00904
28908	DB09212
266604	DB00765
283809	DB00287
8886	DB00344
6678	DB00939
10450	DB00730
1603350	DB06603
5095	DB01159
85762	DB00503
34345	DB00733
20489	DB01416
21212	DB01211
8704	DB00433
4256	DB00036
26744	DB05276
4388	DB05254
17300	DB00346
21247	DB09004
4327	DB08980
753346	DB01266
8246	DB11133
33272	DB01579
1546356	DB06695
1546354	DB09110
1538097	DB09033
6513	DB00256
